,state_x,state_y,move_dir,throw_dir,Action,move_x,move_y,throw_dir_2,u,v
305,-2,2,3,none,MOVE,1,-1,-1000,0.1,-0.1
306,-2,3,3,none,MOVE,1,-1,-1000,0.1,-0.1
307,-2,4,3,none,MOVE,1,-1,-1000,0.1,-0.1
308,-2,5,3,none,MOVE,1,-1,-1000,0.1,-0.1
309,-2,6,3,none,MOVE,1,-1,-1000,0.1,-0.1
310,-2,6,4,none,MOVE,0,-1,-1000,0.0,-0.1
311,-2,7,3,none,MOVE,1,-1,-1000,0.1,-0.1
312,-2,7,4,none,MOVE,0,-1,-1000,0.0,-0.1
313,-2,7,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
314,-2,8,3,none,MOVE,1,-1,-1000,0.1,-0.1
315,-2,8,4,none,MOVE,0,-1,-1000,0.0,-0.1
316,-2,8,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
317,-2,9,3,none,MOVE,1,-1,-1000,0.1,-0.1
318,-2,9,4,none,MOVE,0,-1,-1000,0.0,-0.1
319,-2,9,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
320,-2,10,3,none,MOVE,1,-1,-1000,0.1,-0.1
321,-2,10,4,none,MOVE,0,-1,-1000,0.0,-0.1
322,-2,10,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
323,-1,-10,0,none,MOVE,0,1,-1000,0.0,0.1
324,-1,-10,1,none,MOVE,1,1,-1000,0.1,0.1
325,-1,-10,7,none,MOVE,-1,1,-1000,-0.1,0.1
326,-1,-9,0,none,MOVE,0,1,-1000,0.0,0.1
327,-1,-9,1,none,MOVE,1,1,-1000,0.1,0.1
328,-1,-9,7,none,MOVE,-1,1,-1000,-0.1,0.1
329,-1,-8,0,none,MOVE,0,1,-1000,0.0,0.1
330,-1,-8,1,none,MOVE,1,1,-1000,0.1,0.1
331,-1,-8,7,none,MOVE,-1,1,-1000,-0.1,0.1
332,-1,-7,0,none,MOVE,0,1,-1000,0.0,0.1
333,-1,-7,1,none,MOVE,1,1,-1000,0.1,0.1
334,-1,-7,7,none,MOVE,-1,1,-1000,-0.1,0.1
335,-1,-6,0,none,MOVE,0,1,-1000,0.0,0.1
336,-1,-6,1,none,MOVE,1,1,-1000,0.1,0.1
337,-1,-6,7,none,MOVE,-1,1,-1000,-0.1,0.1
338,-1,-5,0,none,MOVE,0,1,-1000,0.0,0.1
339,-1,-5,1,none,MOVE,1,1,-1000,0.1,0.1
340,-1,-4,1,none,MOVE,1,1,-1000,0.1,0.1
341,-1,-3,1,none,MOVE,1,1,-1000,0.1,0.1
342,-1,-2,1,none,MOVE,1,1,-1000,0.1,0.1
343,-1,-1,none,45,THROW,-1000,-1000,45,0.1,0.10000000000000002
344,-1,-1,1,45,MOVE,1,1,45,0.1,0.1
345,-1,0,none,90,THROW,-1000,-1000,90,0.1,0.0
346,-1,1,none,135,THROW,-1000,-1000,135,0.1,-0.09999999999999998
347,-1,1,3,135,MOVE,1,-1,135,0.1,-0.1
348,-1,2,3,none,MOVE,1,-1,-1000,0.1,-0.1
349,-1,3,3,none,MOVE,1,-1,-1000,0.1,-0.1
350,-1,4,3,none,MOVE,1,-1,-1000,0.1,-0.1
351,-1,5,3,none,MOVE,1,-1,-1000,0.1,-0.1
352,-1,5,4,none,MOVE,0,-1,-1000,0.0,-0.1
353,-1,6,3,none,MOVE,1,-1,-1000,0.1,-0.1
354,-1,6,4,none,MOVE,0,-1,-1000,0.0,-0.1
355,-1,6,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
356,-1,7,3,none,MOVE,1,-1,-1000,0.1,-0.1
357,-1,7,4,none,MOVE,0,-1,-1000,0.0,-0.1
358,-1,7,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
359,-1,8,3,none,MOVE,1,-1,-1000,0.1,-0.1
360,-1,8,4,none,MOVE,0,-1,-1000,0.0,-0.1
361,-1,8,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
362,-1,9,3,none,MOVE,1,-1,-1000,0.1,-0.1
363,-1,9,4,none,MOVE,0,-1,-1000,0.0,-0.1
364,-1,9,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
365,-1,10,3,none,MOVE,1,-1,-1000,0.1,-0.1
366,-1,10,4,none,MOVE,0,-1,-1000,0.0,-0.1
367,-1,10,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
368,0,-10,0,none,MOVE,0,1,-1000,0.0,0.1
369,0,-10,1,none,MOVE,1,1,-1000,0.1,0.1
370,0,-10,7,none,MOVE,-1,1,-1000,-0.1,0.1
371,0,-9,0,none,MOVE,0,1,-1000,0.0,0.1
372,0,-9,1,none,MOVE,1,1,-1000,0.1,0.1
373,0,-9,7,none,MOVE,-1,1,-1000,-0.1,0.1
374,0,-8,0,none,MOVE,0,1,-1000,0.0,0.1
375,0,-8,1,none,MOVE,1,1,-1000,0.1,0.1
376,0,-8,7,none,MOVE,-1,1,-1000,-0.1,0.1
377,0,-7,0,none,MOVE,0,1,-1000,0.0,0.1
378,0,-7,1,none,MOVE,1,1,-1000,0.1,0.1
379,0,-7,7,none,MOVE,-1,1,-1000,-0.1,0.1
380,0,-6,0,none,MOVE,0,1,-1000,0.0,0.1
381,0,-6,1,none,MOVE,1,1,-1000,0.1,0.1
382,0,-6,7,none,MOVE,-1,1,-1000,-0.1,0.1
383,0,-5,0,none,MOVE,0,1,-1000,0.0,0.1
384,0,-5,1,none,MOVE,1,1,-1000,0.1,0.1
385,0,-5,7,none,MOVE,-1,1,-1000,-0.1,0.1
386,0,-4,0,none,MOVE,0,1,-1000,0.0,0.1
387,0,-3,none,0,THROW,-1000,-1000,0,0.0,0.1
388,0,-2,none,0,THROW,-1000,-1000,0,0.0,0.1
389,0,-1,none,0,THROW,-1000,-1000,0,0.0,0.1
390,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
391,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
392,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
393,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
394,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
395,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
396,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
397,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
398,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
399,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
400,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
401,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
402,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
403,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
404,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
405,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
406,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
407,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
408,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
409,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
410,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
411,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
412,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
413,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
414,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
415,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
416,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
417,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
418,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
419,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
420,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
421,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
422,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
423,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
424,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
425,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
426,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
427,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
428,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
429,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
430,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
431,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
432,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
433,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
434,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
435,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
436,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
437,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
438,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
439,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
440,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
441,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
442,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
443,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
444,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
445,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
446,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
447,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
448,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
449,0,0,none,0,THROW,-1000,-1000,0,0.0,0.1
